time,tds,temp,ec,pH
2017/9/11 19:17:19,7.9,31,147,6.268
2017/9/11 19:17:20,7.9,31,147,6.2712
2017/9/11 19:17:21,7.9,31,146.9,6.2829
2017/9/11 19:17:22,7.9,31,146.9,6.2858
2017/9/11 19:17:23,7.9,31,146.9,6.2867
2017/9/11 19:17:24,7.9,31,146.9,6.2832
2017/9/11 19:17:25,7.9,31,146.9,6.2645
2017/9/11 19:17:26,7.9,31,146.9,6.2762
2017/9/11 19:17:27,7.9,31,146.9,6.2808
2017/9/11 19:17:28,7.9,31,146.9,6.2849
2017/9/11 19:17:29,7.9,31,146.9,6.2879
2017/9/11 19:17:30,7.9,31,146.9,6.2703
2017/9/11 19:17:31,7.9,31,146.9,6.2703
2017/9/11 19:17:32,7.9,31,146.8,6.282
2017/9/11 19:17:33,7.9,31,146.8,6.2829
2017/9/11 19:17:34,7.9,31,146.8,6.2829
2017/9/11 19:17:35,7.9,31,146.8,6.2844
2017/9/11 19:17:37,7.9,31,146.8,6.28
2017/9/11 19:17:38,7.9,31,146.8,6.2656
2017/9/11 19:17:39,7.9,31,146.7,6.2762
2017/9/11 19:17:40,7.9,31,146.7,6.2814
2017/9/11 19:17:41,7.9,31,146.7,6.2835
2017/9/11 19:17:42,7.9,31,146.7,6.2899
2017/9/11 19:17:43,7.9,31,146.7,6.2688
2017/9/11 19:17:44,7.9,31,146.7,6.2686
2017/9/11 19:17:45,7.9,31,146.7,6.2797
2017/9/11 19:17:46,7.9,31,146.7,6.2779
2017/9/11 19:17:47,7.9,31,146.8,6.2835
2017/9/11 19:17:48,7.9,31,146.8,6.2823
2017/9/11 19:17:49,7.9,31,146.9,6.2645
2017/9/11 19:17:50,7.9,31,146.9,6.2741
2017/9/11 19:17:51,7.9,31,147,6.2779
2017/9/11 19:17:52,7.9,31,146.9,6.2779
2017/9/11 19:17:53,7.9,31,146.9,6.28
2017/9/11 19:17:54,7.9,31,146.8,6.2844
2017/9/11 19:17:55,7.9,31,146.8,6.2677
2017/9/11 19:17:56,7.9,31,146.9,6.2715
2017/9/11 19:17:57,7.9,31,146.8,6.2841
2017/9/11 19:17:58,7.9,31,146.6,6.2847
2017/9/11 19:17:59,7.9,31,146.3,6.2849
2017/9/11 19:18:01,7.9,31,145.9,6.2823
